GACC	State	Group	Site	Date	Fuel	Percent	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2015-05-11	Redcedar, Eastern	122	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2015-04-29	Redcedar, Eastern	111	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2015-04-14	Redcedar, Eastern	96	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2015-03-31	Redcedar, Eastern	90	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2015-03-18	Redcedar, Eastern	100	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2015-03-05	Redcedar, Eastern	98	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-04-11	1-Hour	12	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-03-15	1-Hour	66	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-03-09	1-Hour	15	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-11-21	1-Hour	17	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-11-09	1-Hour	27	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-10-27	1-Hour	31	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-04-14	1-Hour	13	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-03-28	1-Hour	21	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-12-03	1-Hour	100	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-11-20	1-Hour	45	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-11-03	1-Hour	22	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-10-22	1-Hour	24	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-05-11	1-Hour	75	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-04-29	1-Hour	14	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-04-14	1-Hour	16	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-03-31	1-Hour	6	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-03-18	1-Hour	13	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-03-05	1-Hour	32	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-05-15	10-Hour	20	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-05-04	10-Hour	16	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-04-11	10-Hour	16	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-03-15	10-Hour	23	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-03-09	10-Hour	12	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-12-06	10-Hour	46	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-11-21	10-Hour	19	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-11-09	10-Hour	29	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-10-27	10-Hour	75	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-05-17	10-Hour	28	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-05-04	10-Hour	47	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-04-14	10-Hour	13	
EACC	IA	IA-DNR	Hitchcock Nature Center	2016-03-28	10-Hour	18	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-12-03	10-Hour	100	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-11-20	10-Hour	30	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-11-03	10-Hour	28	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-05-27	10-Hour	54	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-05-11	10-Hour	51	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-04-29	10-Hour	16	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-04-14	10-Hour	12	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-03-31	10-Hour	10	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-03-18	10-Hour	16	
EACC	IA	IA-DNR	Hitchcock Nature Center	2015-03-05	10-Hour	51	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-05-15	1000-Hour	38	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-05-04	1000-Hour	43	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-04-11	1000-Hour	37	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-03-15	1000-Hour	53	
EACC	IA	IA-DNR	Hitchcock Nature Center	2017-03-09	1000-Hour	53	
